id,name,street_number,route,city,state,country,zip_code,latitude,longitude,streetview_exists,description,phone,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,photo_url,rating,address_link,website,tamu_affiliation,resource_type
7e0c7539-8889-40c1-af95-3542ed48d352,Habitat For Humanity,2211,Maloney Avenue,Bryan,Texas,United States,77801,30.6494664,-96.3612546,true,"Habitat works toward our vision by building strength, stability and self-reliance in partnership with families in need of decent and affordable housing. Habitat homeowners help build their own homes alongside volunteers and pay an affordable mortgage",(979) 775-8122,Sunday: Closed,Monday: Closed,Tuesday: 10:00 AM – 6:00 PM,Wednesday: 10:00 AM – 6:00 PM,Thursday: 10:00 AM – 6:00 PM,Friday: 10:00 AM – 6:00 PM,Saturday: 10:00 AM – 6:00 PM,AUacShia-0tbHlB438xscCvj4K3TmyPrid8Q5nMcuRd3KqWFVlcpA2IRNzCFzyH2fec-I1T6-jbt6lTwdwqKa_I_4-zW8olK79sOTj34rY3Fi23v5d8YbHBa6EiMYEqGEfyr9jA6iBYr1py0xxwbpEMVwtjYOL9_CYqGGrX0pqr0N8_v0ynI,4.5,https://maps.google.com/?cid=18219944730877011504,https://habitatbcs.org/restore/,No,Error: Not Found
47f26536-8c0f-42ba-bddf-0e37ed688cd1,Health For All,3030 East,West 29th Street,Bryan,Texas,United States,77802,30.6551055,-96.3419723,true,"Provides free doctor visits, pharmaceuticals, specialist exams, lab tests, X-rays, chronic disease management education and counseling services to low-income patients in the Brazos Valley who do not have health insurance and do not qualify for government programs such as Medicaid, Medicare, or County Indigent funds",(979) 774-4176,Sunday: Closed,Monday: 8:20 AM – 5:00 PM,Tuesday: 8:20 AM – 5:00 PM,Wednesday: 8:20 AM – 6:00 PM,Thursday: 8:20 AM – 5:00 PM,Friday: 8:20 AM – 12:00 PM,Saturday: Closed,Error: No Photo,3,https://maps.google.com/?cid=11028570945545156069,http://www.hlth4all.org/,No,Error: Not Found
a0341ecb-6adc-45f1-858e-d08606df2c3c,La Hacienda Treatment Center,3000,Weslayan Street,Houston,Texas,United States,77027,29.7377826,-95.4422197,true,"A drug and addiction treatment center located in Brazos Valley to help fight addiciton. Acecpts most insurance. Offers a free assessment and referral, individual counseling, family groups, drug and alcohol testing, and referral for detox and medical services.",(713) 977-5202,Sunday: 8:00 AM – 5:00 PM,Monday: 7:00 AM – 6:00 PM,Tuesday: 7:00 AM – 6:00 PM,Wednesday: 7:00 AM – 6:00 PM,Thursday: 7:00 AM – 6:00 PM,Friday: 7:00 AM – 6:00 PM,Saturday: 8:00 AM – 5:00 PM,Error: No Photo,1,https://maps.google.com/?cid=5129400830632330791,https://www.lahacienda.com/,No,Error: Not Found
79b027af-7a2e-43a1-b549-b74f6cec552f,Meals on Wheels,203,West 30th Street,Bryan,Texas,United States,77803,30.6697332,-96.3750243,true,"Food Services primary focus is to provide nutritional services to the elderly population of the Brazos Valley. These services are provided through four programs: Congregate Meals served at Senior Centers, Home Delivered Meals, Meals on Wheels and CBA Meals and Private Pay Meals for those who do not qualify for the other programs offered but want to insure they receive the daily nutrition they require.",(979) 823-2203,Sunday: Closed,Monday: 7:00 AM – 3:00 PM,Tuesday: 7:00 AM – 3:00 PM,Wednesday: 7:00 AM – 3:00 PM,Thursday: 7:00 AM – 3:00 PM,Friday: 7:00 AM – 3:00 PM,Saturday: Closed,Error: No Photo,4.4,https://maps.google.com/?cid=1511991798318267590,https://www.capbv.org/programs/meals-on-wheels/,No,Error: Not Found
f25aa381-6ed8-4cd1-9621-d1e3264a1893,CHI St. Joseph Healthy Communities,2700,East 29th Street,Bryan,Texas,United States,77802,30.6561402,-96.3458918,false,They provide education and support with topics ranging from preparing for childbirth to newborn care to breastfeeding,(979) 776-3777,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,5,https://maps.google.com/?cid=14688523600470173744,http://www.st-joseph.org/,No,Error: Not Found
4d840e4a-6279-4746-9867-b21ad223d3e3,MHMR Authority of Brazos Valley,804,Texas Avenue,Bryan,Texas,United States,77803,30.6659725,-96.3716559,true,"Mental services for children and adults. The MHMR Authority of Brazos Valley is a public non-profit community MHMR center. Through the Texas Health & Human Services Commission (HHSC), we have the administrative responsibility and authority to provide a continuum of mental health and intellectual and developmental disability services to eligible individuals who live in Brazos, Burleson, Grimes, Leon, Madison, Robertson, and Washington counties.",Error: Not Found,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShjEbGvV0rIwDxdrZXLxTiEEu6soI18uyF_UBi1talBIdliAWgQjPsKt3PKMXgQQX7GT1deP9wo3SjsPCZqn6ELnf4bIGv4epWGqEy1baDBF15QfD0-SBHCczSDE67g0mfQGb9mNdLn-W568OH5Nr00jm6MWejkwrMM8--dIkBXck4D5,3.9,https://maps.google.com/?cid=1012039181584221051,http://www.mhmrabv.org/,No,Error: Not Found
ab8071b9-6a9a-4517-82bf-b30760717fe1,Project Unity,4001,East 29th Street,Bryan,Texas,United States,77802,30.6463613,-96.3317296,No,Provides TFTS Child abuse prevention services through parenting. Provides supervised visitation services, provides co-parenting services, provides medical and housing services for individuals diagnosed with HIV/AIDS including women and youth,(979) 595-2900,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShjIiE6tD2zpGmf3S2uBHg5AJy1qS8-LMMXIMRkvxEwJQ-Ag93f49O4-UkLUyPr3106u0JOdAk_BIdEJPt1XzNtAhPrzWrxAYyaks4L4qpGkKhQJ6KLOEGLW8oOtl-kr4JqtwiuedsaCcplmuLEajFZXGAOQNrzqJVuAWGDtrzx2R8Ld,4.6,https://maps.google.com/?cid=8223069819644094739,https://www.projectunitytexas.org/
20f1fd40-6e84-41c0-80bf-db8719b76f93,Scotty's House - Brazos Valley Child Advocacy Center,2424,Kent Street,Bryan,Texas,United States,77802,30.6515807,-96.3498628,true,"Services for children who have been abused.\nThey offer forensic Interviews, forensic Medical Exams, and counseling Services",(979) 703-8813,Sunday: Closed,Monday: 9:00 AM – 5:00 PM,Tuesday: 9:00 AM – 5:00 PM,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 9:00 AM – 5:00 PM,Saturday: Closed,AUacShgS-ohMKG3yCpRuB1uNmPJ04wIbFOBpe7It51tmOEIXj35saWSmxuLVINZ0UNbaI9h6CeN4QM0rbSKsBU8p8LMB98hYz45AMI2gYxdFOHhEuYIXLws0bLcFFqSTa4BTmnwrxd_Ih28k_hMPO_jhc2kRssk3kfDygS1YVKfVc6hPINEw,4.6,https://maps.google.com/?cid=15561885274391925012,http://www.scottyshouse.org/,No,Error: Not Found
5523ca8c-159b-4111-b4f5-0645c7f134ae,Sexual Assault Resource Center,404,Jane Street,College Station,Texas,United States,77840,30.6296486,-96.3350588,true,"They provide services to individuals who have been involved with any kind of sexual violence. Services include crisis Intervention, counseling Services, education, Outreach services & resources",(979) 731-1000,Sunday: Open 24 hours,Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Error: No Photo,5,https://maps.google.com/?cid=16148079284971625845,https://www.sarcbv.org/,No,Error: Not Found
176a4e44-0c18-4dfe-a226-b6cb3a35c4d9,United Way of the Brazos Valley,1716,Briarcrest Drive,Bryan,Texas,United States,77802,30.652732,-96.338155,true,"United Way of the Brazos Valley fights for the health, education and financial stability of every person in the Brazos Valley. In short, United Way helps people by connecting people with resources to improve the lives of every person in the Brazos Valley.",(979) 696-4483,Sunday: Closed,Monday: 8:30 AM – 5:00 PM,Tuesday: 8:30 AM – 5:00 PM,Wednesday: 8:30 AM – 5:00 PM,Thursday: 8:30 AM – 5:00 PM,Friday: 8:30 AM – 5:00 PM,Saturday: Closed,Error: No Photo,4.4,https://maps.google.com/?cid=16517760030134311123,http://www.uwbv.org/,No,Error: Not Found
e10a3a24-7479-40ea-bc8c-eb4341ee8990,Counseling and Assessment Clinic,425,Ross Street,College Station,Texas,United States,77840,30.61689,-96.3429228,true,"The Counseling and Assessment Clinic (CAC) is a psychological service training clinic associated with the Department of Educational Psychology at Texas A&M. All providers at the CAC are trained to provide a variety of psychological services while under the supervision of a Licensed Psychologist. We offer both therapy and assessment services for adults, adolescents, and children in English. Fees are established based on an affordable sliding-scale based on family income and size.",(979) 595-1770,Sunday: Closed,Monday: 9:00 AM – 9:00 PM,Tuesday: 9:00 AM – 9:00 PM,Wednesday: 9:00 AM – 9:00 PM,Thursday: 9:00 AM – 9:00 PM,Friday: 9:00 AM – 12:00 PM,Saturday: Closed,Error: No Photo,5,https://maps.google.com/?cid=15047272003824373108,https://cac.tamu.edu/,No,Error: Not Found
c1388697-cecc-4ee0-b119-e24497ff24cb,Texas A&M Women's Resource Center,400,Bizzell Street,College Station,Texas,United States,77843,30.6186806,-96.3364655,true,"The Center advocates by educating campus and community constituencies on women’s issues and functions as a resource and referral center. The Center strives to ensure a community in which women and men can live and work together in a mutually respectful, safe, and supportive environment where equality, responsibility, and personal empowerment are encouraged and fostered.",(979) 845-3211,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,AUacShi4JjFJ2zjfOstXj3BHsy-DPciBin0pR1W3NRMIqkGUgYeTEVogaDX0aWuK_JBgFHG89gMnxdlK0Pn37NHH0WuP9nPlCxwtVjJyKpHSgC1V-_3S6lfEvCagk_PliWpn2aEFROGhicHUXdFLvvlnlxH-e1yjyy1-VPQxmuK9d2KtxLrS,4.4,https://maps.google.com/?cid=10900884440704105416,http://www.tamu.edu/,No,Error: Not Found
da90bab0-5141-4ba7-bd80-f3329a019e89,Caregiver Day Break,2553,Texas Avenue,College Station,Texas,United States,77840,30.605673,-96.3060917,true,"We are guided by a mission to enable people with intellectual and developmental disabilities to lead their unique lives with dignity, independence, and inclusion. Respect for an individual’s abilities is the foundation of our work. We provide intermediate, home and community-based care services in innovative and loving environments to thousands of individuals through our affiliates in Texas, Georgia, Tennessee, Indiana, and Ohio.",(979) 695-7062,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,3,https://maps.google.com/?cid=3882489291963331813,Error: Not Found,No,Error: Not Found
c6324ab2-433b-4484-acde-7f88be0d3fad,University Emergency Medical Services,311,Houston Street,College Station,Texas,United States,77843,30.615635,-96.342902,true,"Texas A&M University Emergency Medical Services is a campus-based EMS agency that responds to medical and traumatic emergencies on the Texas A&M campus and surrounding community. Texas A&M EMS offers its services to all of Aggieland’s students, faculty, staff, and visitors.",(979) 458-4584,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShjbUBS0otLCUY0Bm9EHDa9xXhtOiyNzYXx87-yTfhmS9u9kv3yx6UdPwm82m5KyWmkwsiuiw8NiCW37renLQEr71iXGSCzOYBZ-83AYUEtPEqP9uoqdOYRjzwA9hQ9hfX-Lo7gCbH4HDp50WpEnMjCF_7szsXkX_0fGhzJpZHRFbRBH,3.2,https://maps.google.com/?cid=4866302962456734213,http://uhs.tamu.edu/,No,Error: Not Found
15664114-9f79-4366-bd1e-0f4d7b3518f4,Student Health Services,311,Houston Street,College Station,Texas,United States,77843,30.615635,-96.342902,true,"Staffed by board certified physicians, nurse practitioners, physician assistants and a psychologist who provide medical care for short term, acute illnesses and injuries, as well as ongoing health problems. Staffed by a Registered Dietitian (RD) who provides students with a personalized approach to all their nutrition needs. Provides prescription and non-prescription medications for students",(979) 458-4584,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShisiKJQtsJ-FKny9OMYNV_BNbZ3bz8rAjKAKq-nePN0ecgqC2Msdpy5AGpECy8oavM1oNW0MeJIqI_oSbUeq7W0osP8bUhm4PIgQLJBey42fA93VXMiejdqYK8yZnPa_3D6FLvEQBNjlC2s5PoOmWJTsdPAgT67ZcgqQsCTR0G8MIvf,3.2,https://maps.google.com/?cid=4866302962456734213,http://uhs.tamu.edu/,No,Error: Not Found
63a4b701-f1ba-45cd-bb19-165ae2ae36d1,Brazos Valley Financial Fitness Center,303,Dominik Drive,College Station,Texas,United States,77840,30.6198741,-96.3207835,true,"Gain financial stability by developing healthy financial habits. We provide one-on-one financial coaching and help families and individuals learn more about how to manage money and provide you with lots of financial resources to guide you through making your money work for you! Specifically, we work in the areas of creating an intentional spending plan that includes monthly savings, reducing debt, improving credit and promoting banking relationships. We want you to have all of the tools you need to get the most out of your finances and start saving for the future. Learn how to stay on a budget,manage a checking account, improve your credit ranking, pay off debt, and save for the future.  ",(979) 300-6780,Sunday: Open 24 hours,Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,AUacShhRe4znS5XqFrrOK0ekhCOQfx3o-P99YhGmFHIGsfECCVhEOxP1EAv_HN-0V5LSn38j15wg2UGiWo4ce1on8Sk9XzDxUIwVKjdiJKu8lllbtL3gtCalTe6LpHFc1t8NVv8G1gUUh_ozkNcEoEUJzKhwDamqcC7nuQnw-buhJViAciA9,5,https://maps.google.com/?cid=10610533375964155018,https://brazosvalleybarbell.com/,No,Error: Not Found
a5280f33-0b67-4d35-8db1-38555d9811f7,Brazos Valley Women's Center,1602,Rock Prairie Road,College Station,Texas,United States,77845,30.5815696,-96.2911728,true,"From birth control to prenatal nutrition, our professional staff provide a range of services. At BVWC, we strive to offer our patients convenient, high-quality care. Our Care Center is conveniently located in Bryan, Texas. Office Procedures include Obstetric and gynecologic ultrasound - 4D imagining available, Hysteroscopy, Essure permanent sterilization, Endometrial ablation, Colposcopy, LEEP cervical conization, IUD placement and removal, Nexplanon placement and removal, Urodynamic Testing, Pessary Fitting and Placement. Surgeries include Vaginal surgery, Hysteroscopy - diagnostic and operative, Endometrial ablation, Gynecologic laparoscopy, Robotic assisted gynecologic laparoscopy.",(979) 776-5602,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 12:00 PM,Saturday: Closed,AUacShh2utVeZOR0K_-ITq9zHOAJYChjVgXxA4e3gDYUf71L3ESOqPi8d-2VWCEaI8b6DVytkHZp6MYjvi0VzqlXOmTSlVN9syZSDVevVbTDzZhfmMX8QSNZuq_rLfArt-QG8RZ-BrSilZKhMs_ggVtl71nrDLgAzFnDtcbbzcj6CV7u_A7L,3.7,https://maps.google.com/?cid=14099775415429661359,http://www.bvwc.com/,No,Error: Not Found
d0afed2a-f62c-431c-bd2d-d88e8b3c3e65,Brazos Interfaith Immigration Network,2500,South College Avenue,Bryan,Texas,United States,77801,30.6444544,-96.3629039,true,"Brazos Immigration seeks to partner with any faith community or organization interested in helping us to fulfill our mission. We partner with local groups to offer citizenship classes and co-host and sponsor informational sessions for immigrants with Catholic Charities Immigration Legal Services, Bryan Independent School District, the United States Citizenship and Immigration Service (USCIS) and the Mexican Consulate. We seek opportunities to build connections and collaborations that strengthen immigrant support.",(979) 393-8228,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,AUacShgQEZCVox_He_o7eI0SSb_uykNhHBp79JsLvZAQrTiIU3WgR7vw68BKns-E36zEXxDi4bp4hrnA_7hWpp1cfpyV3TUeA4VIr8cmdIfSzCXpagv7ic8fKFfbx3p3iKAwmFbw0w5G8qgLghWDxCz7uVK_vuNuBp6M_byjn1fsSk7lMwKi,5,https://maps.google.com/?cid=8838382452676018117,https://brazosimmigration.com/,No,Error: Not Found
6f1636c8-aa3f-4fcf-b060-66bfeaba3370,Brazos Valley Affordable Housing Corp.,4001,East 29th Street,Bryan,Texas,United States,77802,30.6461334,-96.3314971,true,"Housing Assistance, Small Dollar Loan Program, Financial Fitness Center. The Brazos Valley Affordable Housing Corporation and the Brazos Valley CDC Inc. have been providing first time homebuyer seminars, credit counseling, down payment assistance, home loans, apartments, and newly constructed homes for eligible families in the Brazos Valley since 1995",(979) 595-2809,Sunday: Closed,"Monday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Tuesday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Wednesday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Thursday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Friday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM",Saturday: Closed,AUacShjS9kY3HFKzENerTlnrmcQniABNA_z_8izZWgNLawPJZaG85keWZxikb97rhfqtXgiC0XHHqM_Xkqc3OGpxGY-un1uSLwQrxvR-li3L8Jah7btbWsEkfeoXdf74Kg5uzqEjBP4jMFEH0IJWI0unmgFl9AhkVE1iJJYEUVPecpfluYee,Error: Not Found,https://maps.google.com/?cid=498362278283668225,https://bvahc.org/,No,Error: Not Found
a6b7b4d1-220b-46a3-946a-ae911409ce63,Bryan Housing Authority,1306,Beck Street,Bryan,Texas,United States,77803,30.6651587,-96.3807033,true,Provides quality affordable housing to low-income families. We are dedicated to sustaining communities that promote individual responsibility as well as creating and cultivating opportunities for participants to achieve self-sufficiency and economic independence.,(979) 822-2013,Sunday: Closed,Monday: 8:00 AM – 4:00 PM,Tuesday: 8:00 AM – 4:00 PM,Wednesday: 8:00 AM – 4:00 PM,Thursday: 8:00 AM – 4:00 PM,Friday: 8:00 AM – 4:00 PM,Saturday: Closed,Error: No Photo,3.3,https://maps.google.com/?cid=6089719558158253824,http://www.bryanhousingauthority.com/,No,Error: Not Found
1b4a9704-8df5-4bfb-878f-b620e1d92229,Brazos Church Pantry,304,West 26th Street,Bryan,Texas,United States,77803,30.6741156,-96.3756739,true,If you are in need of an emergency supply of groceries please come to the pantry and let us help you. The Pantry is here so hungry families can get food in emergency situations.,(979) 822-2660,Sunday: Closed,Monday: 1:00 – 2:30 PM,Tuesday: 9:30 – 11:00 AM,Wednesday: 1:00 – 2:30 PM,Thursday: 9:30 – 11:00 AM,Friday: 9:30 – 11:00 AM,Saturday: 10:00 – 11:30 AM,AUacShjghsGa0A9Ba9FSGwUSP3ucOGy6LFBTIIAgDSfW5HP5b0BLa0XWsgP9KJzjJ5APgefp6_oJAXlkuNjNmVv9_DPph3qn0q3iztZylySi6AJL6lBaIPYGyaG7ODB514Mv0bPaRs_-cWUqoSrCCGF_VqXJjOCMzba8G0JXJI3nKc6S_-US,4.8,https://maps.google.com/?cid=16843580663342880452,http://brazoschurchpantry.org/,No,Error: Not Found
