Name,Street Number,Route,City,State,Country,Zip Code,Latitude,Longitude,Description,Phone Number,Sunday Hours,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Photo URL,Rating,URL,Website,TAMU Affiliation,Resource Type
Housing Authority/City Bryan,1306,Beck Street,Bryan,Texas,United States,77803,30.6651587,-96.3807033,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 822-2013,Sunday: Closed,Monday: 8:00 AM – 4:00 PM,Tuesday: 8:00 AM – 4:00 PM,Wednesday: 8:00 AM – 4:00 PM,Thursday: 8:00 AM – 4:00 PM,Friday: 8:00 AM – 4:00 PM,Saturday: Closed,Error: No Photo,3.3,https://maps.google.com/?cid=6089719558158253824,http://www.bryanhousingauthority.com/,No,Error: Not Found
Bryan Community Development,1803,Greenfield Plaza,Bryan,Texas,United States,77802,30.65146969999999,-96.33445499999999,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 209-5175,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,3,https://maps.google.com/?cid=8514310717566494249,https://www.bryantx.gov/community-development/,No,Error: Not Found
College Station Community Development,511,University Drive East,College Station,Texas,United States,77840,30.6321445,-96.3311233,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 764-3778,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,Error: Not Found,https://maps.google.com/?cid=8560417440756215675,https://www.cstx.gov/departments___city_hall/commserv/development,No,Error: Not Found
Family Promise of Bryan-College Station,1401,West Martin Luther King Junior Street,Bryan,Texas,United States,77802,30.68511119999999,-96.386135,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 268-4309,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,4.8,https://maps.google.com/?cid=10153993638665176731,http://www.familypromisebcs.org/about-us/,No,Error: Not Found
Bryan College Station Habitat For Humanity Restore,2211,Maloney Avenue,Bryan,Texas,United States,77801,30.6494664,-96.3612546,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 775-8122,Sunday: Closed,Monday: Closed,Tuesday: 10:00 AM – 6:00 PM,Wednesday: 10:00 AM – 6:00 PM,Thursday: 10:00 AM – 6:00 PM,Friday: 10:00 AM – 6:00 PM,Saturday: 10:00 AM – 6:00 PM,AUacShhi_7sdp70CZezNsV5HlKq6lWZOV1szt1ywz5o2noxhZaP5mEUOWEmTnTt_yE1U2xQrFKfwixISrrj4ycQY6ZZhKag_m1SbUfj6csCAmSRqQziCbTs_T33pFe5RUScoVUe6CzPHyemh7IS_Ek1pxEZDXiWmTIOlnARVVA8SwZlyISgZ,4.5,https://maps.google.com/?cid=18219944730877011504,https://habitatbcs.org/restore/,No,Error: Not Found
Health For All,3030 East,West 29th Street,Bryan,Texas,United States,77802,30.6551055,-96.3419723,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 774-4176,Sunday: Closed,Monday: 8:20 AM – 5:00 PM,Tuesday: 8:20 AM – 5:00 PM,Wednesday: 8:20 AM – 6:00 PM,Thursday: 8:20 AM – 5:00 PM,Friday: 8:20 AM – 12:00 PM,Saturday: Closed,Error: No Photo,3,https://maps.google.com/?cid=11028570945545156069,http://www.hlth4all.org/,No,Error: Not Found
La Hacienda Treatment Center - Community Outreach Center,3000,Weslayan Street,Houston,Texas,United States,77027,29.7377826,-95.4422197,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(713) 977-5202,Sunday: 8:00 AM – 5:00 PM,Monday: 7:00 AM – 6:00 PM,Tuesday: 7:00 AM – 6:00 PM,Wednesday: 7:00 AM – 6:00 PM,Thursday: 7:00 AM – 6:00 PM,Friday: 7:00 AM – 6:00 PM,Saturday: 8:00 AM – 5:00 PM,Error: No Photo,1,https://maps.google.com/?cid=5129400830632330791,https://www.lahacienda.com/,No,Error: Not Found
Lone Star Legal Aid,1714,East 29th Street,Bryan,Texas,United States,77802,30.66100700000001,-96.356482,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 775-5050,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,3,https://maps.google.com/?cid=1119730631337238228,https://www.lonestarlegal.org/,No,Error: Not Found
MHMR Authority of Brazos Valley,804,Texas Avenue,Bryan,Texas,United States,77803,30.6659725,-96.3716559,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",Error: Not Found,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShi3drs2oCFhjahfVtW8AQ0E2RyTYOpm40C9SZekozNp0ovuSwIx0u-_vJyFyTQ1Jqh0Kq_a1c2Lg923vF7pIDaf3j_XnnMSmRku9LU2wLKEntRUlWxu8JpbisM8zyvoH_kwT2iXenYHaGjCm-1kPsOgqZRJzZloFgaS6CnpiSC4P5aU,3.9,https://maps.google.com/?cid=1012039181584221051,http://www.mhmrabv.org/,No,Error: Not Found
Project Unity,4001,East 29th Street,Bryan,Texas,United States,77802,30.6463613,-96.3317296,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 595-2900,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShiI5vhmXVA306qiLRnjglx1sS4RD70zDqrgbvEXmxqeu5iHlaEB40qVbjYXx2lj5B4zMvoaCYPSbSdPeoBWQi8YnPt55wp6ck3Sy5HOqsAW0Xj8DC83drMq4jTjYQm3xm2SBFK5UDXrip4h_ZcE7401M3o0qIpZF9D7m7y6HhbHE13h,4.6,https://maps.google.com/?cid=8223069819644094739,https://www.projectunitytexas.org/,No,Error: Not Found
CHI St. Joseph Health,2700,East 29th Street,Bryan,Texas,United States,77802,30.65614020000001,-96.34589179999999,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 776-3777,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,5,https://maps.google.com/?cid=14688523600470173744,http://www.st-joseph.org/,No,Error: Not Found
Scotty's House,2424,Kent Street,Bryan,Texas,United States,77802,30.6515807,-96.3498628,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 703-8813,Sunday: Closed,Monday: 9:00 AM – 5:00 PM,Tuesday: 9:00 AM – 5:00 PM,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 9:00 AM – 5:00 PM,Saturday: Closed,AUacShhImd74aB01GcKD4iQwZ5U8JeEz2zov114FoTdGahI3BCZrbU4kDMG0Ov0llZMUWTwIxyvaeXUEOzRIA4OeUyFFaly_6ENVOMeGtYD6OPme1WrFkIedqdGaWqfF5i63HuX0PFiZBVV8kU86lAv-VeR3L2Kabiis067vnGPGz2qSgVf0,4.6,https://maps.google.com/?cid=15561885274391925012,http://www.scottyshouse.org/,No,Error: Not Found
United Way of the Brazos Valley,1716,Briarcrest Drive,Bryan,Texas,United States,77802,30.652732,-96.338155,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 696-4483,Sunday: Closed,Monday: 8:30 AM – 5:00 PM,Tuesday: 8:30 AM – 5:00 PM,Wednesday: 8:30 AM – 5:00 PM,Thursday: 8:30 AM – 5:00 PM,Friday: 8:30 AM – 5:00 PM,Saturday: Closed,Error: No Photo,4.4,https://maps.google.com/?cid=16517760030134311123,http://www.uwbv.org/,No,Error: Not Found
Sexual Assault Resource Center,404,Jane Street,College Station,Texas,United States,77840,30.6296486,-96.3350588,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 731-1000,Sunday: Open 24 hours,Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Error: No Photo,5,https://maps.google.com/?cid=16148079284971625845,https://www.sarcbv.org/,No,Error: Not Found
Texas A&M University,400,Bizzell Street,College Station,Texas,United States,77843,30.6186806,-96.33646549999999,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 845-3211,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,AUacShjr0c5NYCvTgkCk05_CmKXQgdp8leLWfpfAEhRtYqmEpvGy5B-z7oKxc-_mdC2I9zg1bDniyvHsaNEM_QCLvWfXQaRpmxqjCtr9wWTW_4kgo24YPjCiMbjGCkz1VvjZQvEnNd6ojtKJONXkJxzJ49fPaPOCXCDyus3K2RWfMsy6RvBB,4.4,https://maps.google.com/?cid=10900884440704105416,http://www.tamu.edu/,No,Error: Not Found
College Station Counselors,426,Tarrow Street,College Station,Texas,United States,77840,30.634687,-96.330009,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 777-0617,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,Error: Not Found,https://maps.google.com/?cid=16589302785747829002,Error: Not Found,No,Error: Not Found
Meals On Wheels,203,West 30th Street,Bryan,Texas,United States,77803,30.66973320000001,-96.37502429999999,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 823-2203,Sunday: Closed,Monday: 7:00 AM – 3:00 PM,Tuesday: 7:00 AM – 3:00 PM,Wednesday: 7:00 AM – 3:00 PM,Thursday: 7:00 AM – 3:00 PM,Friday: 7:00 AM – 3:00 PM,Saturday: Closed,Error: No Photo,4.4,https://maps.google.com/?cid=1511991798318267590,https://www.capbv.org/programs/meals-on-wheels/,No,Error: Not Found
HealthPoint - BCS,3370,South Texas Avenue,Bryan,Texas,United States,77802,30.638862,-96.35025399999999,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 595-1700,Sunday: Closed,"Monday: 8:00 AM – 12:00 PM, 1:00 – 6:00 PM","Tuesday: 8:00 AM – 12:00 PM, 1:00 – 6:00 PM","Wednesday: 8:00 AM – 12:00 PM, 1:00 – 6:00 PM","Thursday: 8:00 AM – 12:00 PM, 1:00 – 6:00 PM",Friday: 8:00 AM – 12:00 PM,Saturday: Closed,AUacShg4Q02URcAudYssW1rXHm9YpUQWcSvMzPybBe8oG-DyOzjNG6Rx1g0REdKfL21utepSVTnR4YvmAs8smpw6edcV28ZsoQLVH33W4ZFoiSrKRMwyob9n2KTaGR4Ep4fhpXHjDecxsvuz7_R4jmqdqc3BMGINz9bIk1OnaipU5MPLC31P,3.5,https://maps.google.com/?cid=13328853269145163060,https://www.healthpoint-tx.com/healthpoint-locations/bryan-college-station/,No,Error: Not Found
Daybreak Community Services,2553,Texas Avenue,College Station,Texas,United States,77840,30.60567300000001,-96.3060917,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 695-7062,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,3,https://maps.google.com/?cid=3882489291963331813,Error: Not Found,No,Error: Not Found
The Physicians Centre Hospital: Emergency Room,3131,University Drive East,Bryan,Texas,United States,77802,30.6502852,-96.2975699,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 731-3100,Sunday: Open 24 hours,Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Error: No Photo,3.3,https://maps.google.com/?cid=4245371045616466188,http://www.thephysicianscentre.com/,No,Error: Not Found
CAP Auctions,1009,North Earl Rudder Freeway,Bryan,Texas,United States,77802,30.6779298,-96.3436325,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(888) 300-0005,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,Error: Not Found,https://maps.google.com/?cid=907324455903576905,Error: Not Found,No,Error: Not Found
University Health Services,311,Houston Street,College Station,Texas,United States,77843,30.615635,-96.342902,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 458-4584,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShgmmYGjq93kgdjh_PDPN3MHl7M6XMlokHHRH84-dGQOiCo0uSopMFrylwY-1u3_QJgT94RHIVb0IUSC8XE7HXMpfsqPem3wE4rIOjHl9gRTRpKElXcTVHiV3BhQTCWtt43zKRxxTtHAXLzV2KE5paKuc86ougQBsM4k0BKvVClIMb_C,3.2,https://maps.google.com/?cid=4866302962456734213,http://uhs.tamu.edu/,No,Error: Not Found
The Prenatal Clinic,3370,Texas Avenue,Bryan,Texas,United States,77802,30.639128,-96.35011229999999,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 595-1780,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 12:00 PM,Saturday: Closed,AUacShgjuD1FacUsg1JnBNLMCzEXG4sRcZl88P00ktp49ogsxRfntowATQY86LJBlilQwhyVjguwdhXYbuBjZcJUhrnvolQZLu5DDkfV3r_8Tsz6dOPV8nS6uZyhfqyyafF16GUFcBEy2QptStNO8GsUCI_Zv85JGbqTrIAjdvddwuLGdbd-,3.2,https://maps.google.com/?cid=17399581370673089340,https://www.bcsprenatal.org/,No,Error: Not Found
Brazos Valley Barbell,303,Dominik Drive,College Station,Texas,United States,77840,30.61987409999999,-96.32078349999999,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 300-6780,Sunday: Open 24 hours,Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,AUacShjdNrTRd7yBc0HM0RgfXFtX1BblloMAH1GczFrbA3WM3JH-GtlwcBVWJxiVx2ktLL42tBHKhk7rQChkFbEaV-c4v_1s1khUDDZgEdPyAY3K8MGrcYkr0NxJ2DrXpl-n8mJo5gzoBAUY4XApefeLYlFw-QvjtPrZLOZ-WQhHQrlwURcB,5,https://maps.google.com/?cid=10610533375964155018,https://brazosvalleybarbell.com/,No,Error: Not Found
