,Name,Street Number,Route,City,State,Country,Zip Code,Latitude,Longitude,Description,Phone Number,Sunday Hours,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Photo URL,Rating,URL,Website,TAMU Affiliation,Resource Type
0,Housing Authority/City Bryan,1306,Beck Street,Bryan,Texas,United States,77803,30.6651587,-96.3807033,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 822-2013,Sunday: Closed,Monday: 8:00 AM – 4:00 PM,Tuesday: 8:00 AM – 4:00 PM,Wednesday: 8:00 AM – 4:00 PM,Thursday: 8:00 AM – 4:00 PM,Friday: 8:00 AM – 4:00 PM,Saturday: Closed,Error: No Photo,3.3,https://maps.google.com/?cid=6089719558158253824,http://www.bryanhousingauthority.com/,No,Community Resource
0,Bryan Community Development,1803,Greenfield Plaza,Bryan,Texas,United States,77802,30.65146969999999,-96.33445499999999,"Housing Assistance, Small Dollar Loan Program, Financial Fitness Center. The Brazos Valley Affordable Housing Corporation and the Brazos Valley CDC Inc. have been providing first time homebuyer seminars, credit counseling, down payment assistance, home loans, apartments, and newly constructed homes for eligible families in the Brazos Valley since 1995",(979) 209-5175,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,3,https://maps.google.com/?cid=8514310717566494249,https://www.bryantx.gov/community-development/,No,Community Resource
0,College Station Community Development,511,University Drive East,College Station,Texas,United States,77840,30.6321445,-96.3311233,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 764-3778,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,Error: Not Found,https://maps.google.com/?cid=8560417440756215675,https://www.cstx.gov/departments___city_hall/commserv/development,No,Community Resource
0,Family Promise of Bryan-College Station,1401,West Martin Luther King Junior Street,Bryan,Texas,United States,77802,30.68511119999999,-96.386135,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 268-4309,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,4.8,https://maps.google.com/?cid=10153993638665176731,http://www.familypromisebcs.org/about-us/,No,Community Resource
0,Bryan College Station Habitat For Humanity Restore,2211,Maloney Avenue,Bryan,Texas,United States,77801,30.6494664,-96.3612546,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 775-8122,Sunday: Closed,Monday: Closed,Tuesday: 10:00 AM – 6:00 PM,Wednesday: 10:00 AM – 6:00 PM,Thursday: 10:00 AM – 6:00 PM,Friday: 10:00 AM – 6:00 PM,Saturday: 10:00 AM – 6:00 PM,AUacShisQHbJjadV5ZE3d6xwCVycSgP22MZ5z2KMq5cZpeiz5h8dHs3jWP-Fuj4-sPish8iwHZRqWnNO3AD4mmcoxJ6Ma0YR20FvEGBs6hs0wtZ2Hx-2BdYKjs38X-Sj2UEEC1JYygApynmPlmN2gs5m_4ZNw0mv2DtStvraeBC5g2i6csrr,4.5,https://maps.google.com/?cid=18219944730877011504,https://habitatbcs.org/restore/,No,Community Resource
0,Health For All,3030 East,West 29th Street,Bryan,Texas,United States,77802,30.6551055,-96.3419723,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 774-4176,Sunday: Closed,Monday: 8:20 AM – 5:00 PM,Tuesday: 8:20 AM – 5:00 PM,Wednesday: 8:20 AM – 6:00 PM,Thursday: 8:20 AM – 5:00 PM,Friday: 8:20 AM – 12:00 PM,Saturday: Closed,Error: No Photo,3,https://maps.google.com/?cid=11028570945545156069,http://www.hlth4all.org/,No,Community Resource
0,La Hacienda Treatment Center - Community Outreach Center,3000,Weslayan Street,Houston,Texas,United States,77027,29.7377826,-95.4422197,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(713) 977-5202,Sunday: 8:00 AM – 5:00 PM,Monday: 7:00 AM – 6:00 PM,Tuesday: 7:00 AM – 6:00 PM,Wednesday: 7:00 AM – 6:00 PM,Thursday: 7:00 AM – 6:00 PM,Friday: 7:00 AM – 6:00 PM,Saturday: 8:00 AM – 5:00 PM,Error: No Photo,1,https://maps.google.com/?cid=5129400830632330791,https://www.lahacienda.com/,No,Community Resource
0,Lone Star Legal Aid,1714,East 29th Street,Bryan,Texas,United States,77802,30.66100700000001,-96.356482,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 775-5050,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,3,https://maps.google.com/?cid=1119730631337238228,https://www.lonestarlegal.org/,No,Community Resource
0,MHMR Authority of Brazos Valley,804,Texas Avenue,Bryan,Texas,United States,77803,30.6659725,-96.3716559,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",Error: Not Found,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShizyqJJPW0iEfH_ncLhDKPVzfLz9ZilV5BR7ead3oF_fAuTNy01pgEqWGpqyNXxwYNhosjbO5R7yFRk8pu3AAvO43fBPIJpMw99gnb2VLrOOS1SigLdTd0Qnx8lhT4M2GzNOEL-DBEIZt440_-ldkYk3ggJwYg7GRJttngo3xiDFm5d,3.9,https://maps.google.com/?cid=1012039181584221051,http://www.mhmrabv.org/,No,Community Resource
0,Project Unity,4001,East 29th Street,Bryan,Texas,United States,77802,30.6463613,-96.3317296,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 595-2900,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShj07YXEyM4rpSkNzX34ohvv6Ves_o-A1eJlx7a4skDd_9laRUO_eYUKYHF2rEwpRGzobw2WdVrCfGXyauZ8-RwD1qBi3VG3_b7tvHyZ_LyPn7e7qEAAAciQsw1fH7aLZnR6Ee3wsOWWzcyyr-4r9a6W1tY7xAdpxQG6h5IJ2BLEbOvv,4.6,https://maps.google.com/?cid=8223069819644094739,https://www.projectunitytexas.org/,No,Community Resource
0,CHI St. Joseph Health,2700,East 29th Street,Bryan,Texas,United States,77802,30.65614020000001,-96.34589179999999,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 776-3777,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,5,https://maps.google.com/?cid=14688523600470173744,http://www.st-joseph.org/,No,Community Resource
0,Scotty's House,2424,Kent Street,Bryan,Texas,United States,77802,30.6515807,-96.3498628,"Housing Assistance, Small Dollar Loan Program, Financial Fitness Center. The Brazos Valley Affordable Housing Corporation and the Brazos Valley CDC Inc. have been providing first time homebuyer seminars, credit counseling, down payment assistance, home loans, apartments, and newly constructed homes for eligible families in the Brazos Valley since 1995",(979) 703-8813,Sunday: Closed,Monday: 9:00 AM – 5:00 PM,Tuesday: 9:00 AM – 5:00 PM,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 9:00 AM – 5:00 PM,Saturday: Closed,AUacShjGuD_IaoEbLK6xdCTPJZ1vnvmFrAO2cXtdufgs6vGNkwcpkcQw1uKlJujvEISbOQkGtOJTmd1EDeo6LeCkaQHI0iYYTtUcA9VPElhz34VrxtCf8l6siWtMMoMg2Hyl0jt45R_jats7Hj8otRW4DllgoxiLYlMwCqg93ZjusK68EGdf,4.6,https://maps.google.com/?cid=15561885274391925012,http://www.scottyshouse.org/,No,Community Resource
0,United Way of the Brazos Valley,1716,Briarcrest Drive,Bryan,Texas,United States,77802,30.652732,-96.338155,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 696-4483,Sunday: Closed,Monday: 8:30 AM – 5:00 PM,Tuesday: 8:30 AM – 5:00 PM,Wednesday: 8:30 AM – 5:00 PM,Thursday: 8:30 AM – 5:00 PM,Friday: 8:30 AM – 5:00 PM,Saturday: Closed,Error: No Photo,4.4,https://maps.google.com/?cid=16517760030134311123,http://www.uwbv.org/,No,Community Resource
0,Sexual Assault Resource Center,404,Jane Street,College Station,Texas,United States,77840,30.6296486,-96.3350588,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 731-1000,Sunday: Open 24 hours,Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,Error: No Photo,5,https://maps.google.com/?cid=16148079284971625845,https://www.sarcbv.org/,No,Community Resource
0,Texas A&M University,400,Bizzell Street,College Station,Texas,United States,77843,30.6186806,-96.33646549999999,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 845-3211,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,AUacShihJDXqKmjQnUMiv5JrbkPI1glLLo-tdwsp2E_uxvL63BMKcTjaVj_Qg60JW5xnE72wkHdtCNpKw_X3pt-j3SovfZo68sZSE0i9yP0phwImPDt3rMfGS5qITG6asSjLaZrlxpS9x1ZSy8EaBEeMAtipFFdkE-kMZwZnreqcZiIYfeDl,4.4,https://maps.google.com/?cid=10900884440704105416,http://www.tamu.edu/,No,Community Resource
0,Counseling & Assessment Clinic,425,Ross Street,College Station,Texas,United States,77840,30.61689,-96.3429228,"Housing Assistance, Small Dollar Loan Program, Financial Fitness Center. The Brazos Valley Affordable Housing Corporation and the Brazos Valley CDC Inc. have been providing first time homebuyer seminars, credit counseling, down payment assistance, home loans, apartments, and newly constructed homes for eligible families in the Brazos Valley since 1995",(979) 595-1770,Sunday: Closed,Monday: 9:00 AM – 9:00 PM,Tuesday: 9:00 AM – 9:00 PM,Wednesday: 9:00 AM – 9:00 PM,Thursday: 9:00 AM – 9:00 PM,Friday: 9:00 AM – 12:00 PM,Saturday: Closed,Error: No Photo,5,https://maps.google.com/?cid=15047272003824373108,https://cac.tamu.edu/,No,Community Resource
0,Meals On Wheels,203,West 30th Street,Bryan,Texas,United States,77803,30.66973320000001,-96.37502429999999,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 823-2203,Sunday: Closed,Monday: 7:00 AM – 3:00 PM,Tuesday: 7:00 AM – 3:00 PM,Wednesday: 7:00 AM – 3:00 PM,Thursday: 7:00 AM – 3:00 PM,Friday: 7:00 AM – 3:00 PM,Saturday: Closed,Error: No Photo,4.4,https://maps.google.com/?cid=1511991798318267590,https://www.capbv.org/programs/meals-on-wheels/,No,Community Resource
0,HealthPoint - BCS,3370,South Texas Avenue,Bryan,Texas,United States,77802,30.638862,-96.35025399999999,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 595-1700,Sunday: Closed,"Monday: 8:00 AM – 12:00 PM, 1:00 – 6:00 PM","Tuesday: 8:00 AM – 12:00 PM, 1:00 – 6:00 PM","Wednesday: 8:00 AM – 12:00 PM, 1:00 – 6:00 PM","Thursday: 8:00 AM – 12:00 PM, 1:00 – 6:00 PM",Friday: 8:00 AM – 12:00 PM,Saturday: Closed,AUacShj1pUDN23A1_WUA_AOB_EQtNV7Fge8fWE96L8sXlBvTcyEbRmnQbotYZKtaZkHiDnVW4NhTR--a-OMi4C5Bmq_x2Qt-MQb0HlOG4cgLnMwcduZWWArE6QQ4NA4slITVECuLw6yFQIZK1Cseylan-9X4ISTvuVz7cPNQSaesKTTeu6Rc,3.5,https://maps.google.com/?cid=13328853269145163060,https://www.healthpoint-tx.com/healthpoint-locations/bryan-college-station/,No,Community Resource
0,Daybreak Community Services,2553,Texas Avenue,College Station,Texas,United States,77840,30.60567300000001,-96.3060917,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 695-7062,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,3,https://maps.google.com/?cid=3882489291963331813,Error: Not Found,No,Community Resource
0,University Emergency Medical Services,462,Grider Street,Buffalo,New York,United States,14215,42.9254225,-78.8313324,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(716) 898-4166,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,1,https://maps.google.com/?cid=4254149412247745440,Error: Not Found,No,Community Resource
0,CAP Auctions,1009,North Earl Rudder Freeway,Bryan,Texas,United States,77802,30.6779298,-96.3436325,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(888) 300-0005,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,Error: Not Found,https://maps.google.com/?cid=907324455903576905,Error: Not Found,No,Community Resource
0,University Health Services,311,Houston Street,College Station,Texas,United States,77843,30.615635,-96.342902,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 458-4584,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShj9T20F2qi_a-B9v3lZiZ7KpxkPt_3N6ACKzk5wKAfHZK2HQZgHxzBEIFpDr1cGzZzLD_G9s4zqL4lCj7Wu43gwGaFDWpfGpacLgTuq5ialvPwAfaiiqaVKNB-QTb_BrAoYbXXG4dlZPDJMrUdLuPk1Nvz2vhIdc6iDfaGUtkfaBP8W,3.2,https://maps.google.com/?cid=4866302962456734213,http://uhs.tamu.edu/,No,Community Resource
0,The Prenatal Clinic,3370,Texas Avenue,Bryan,Texas,United States,77802,30.639128,-96.35011229999999,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 595-1780,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 12:00 PM,Saturday: Closed,AUacShj8dVsSGnlFG-ZX_FJdN60FrgO2_NGJRQB14TgwIWmaSjBg2J1TBtUMxK7ZK6mPS95kZsgZ7cGO4rkFQZy2SKphfAMVjVJNpEa461aGpmsxC8K_LtMdhUUWYoz4BN0OwghMhucO7LT1KoaR1GAhcsXBIfXDfQ6kM3YGre7jjwN8r--a,3.2,https://maps.google.com/?cid=17399581370673089340,https://www.bcsprenatal.org/,No,Community Resource
